NAME,COUNTY,HAS_RAIL,HAS_FERRY,HAS_BUS
Sebastopol,Sonoma,0,0,1
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Santa Rosa,Sonoma,0,0,0
Windsor,Sonoma,0,0,0
Windsor,Sonoma,0,0,0
Windsor,Sonoma,0,0,0
Windsor,Sonoma,0,0,0
Winters,Yolo,0,0,0
Windsor,Sonoma,0,0,0
Windsor,Sonoma,0,0,1
Healdsburg,Sonoma,0,0,0
Healdsburg,Sonoma,0,0,0
Healdsburg,Sonoma,0,0,0
Healdsburg,Sonoma,0,0,0
Healdsburg,Sonoma,0,0,0
Healdsburg,Sonoma,0,0,0
Healdsburg,Sonoma,0,0,1
